,名次,馬號,馬名,騎師,練馬師,實際 負磅,排位 體重,檔位,頭馬 距離,沿途 走位,完成 時間,獨贏 賠率,Date,RaceNo,Venue,Class,Distance,VenueCondition,RaceStakes,WinnerNo,nHorse,Winner,PLACE
8,9,13,功夫茶(C136),蔡明紹,賀賢,117,1140,7,7-1/2,11 11 8 9,1:22.19,11.0,2021-11-28,6,沙田,第四班,1400米,好地,"HK$ 1,040,000",7,14,False,False
11,12,14,創福威(E210),楊明綸,大衛希斯,116,992,2,11-1/4,5 4 3 12,1:22.78,78.0,2021-11-28,6,沙田,第四班,1400米,好地,"HK$ 1,040,000",7,14,False,False
10,11,1,二郎(C019),蔡明紹,告東尼,133,1171,6,8-3/4,3 4 4 11,1:35.12,32.0,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
2,3,2,勇猛神駒(C462),薛恩,沈集成,130,1182,8,1-1/4,10 9 7 3,1:33.89,46.0,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,True
11,12,3,黃金甲(C071),楊明綸,羅富全,130,1137,9,17-1/4,2 2 3 12,1:36.48,93.0,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
5,6,4,幸運快車(D026),潘頓,蔡約翰,129,1162,7,2,5 5 5 6,1:34.03,4.9,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
6,7,5,百步穿雲(A165),潘明輝,賀賢,124,1142,11,2,9 10 11 7,1:34.04,18.0,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
1,2,6,勁搏(D386),莫雷拉,蔡約翰,125,1118,2,1-1/4,6 6 6 2,1:33.89,2.2,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,True
9,10,7,遨遊戰士(C247),馬雅,姚本輝,124,1143,10,5,1 1 1 10,1:34.49,27.0,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
3,4,8,非凡才子(C095),梁家俊,容天鵬,120,1171,5,1-1/4,7 7 8 4,1:33.91,10.0,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
4,5,9,星運子爵(D187),何澤堯,方嘉柏,120,1186,12,1-3/4,8 8 9 5,1:33.98,9.8,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
7,8,10,喜蓮騏星(C165),周俊樂,告東尼,117,1095,3,3-1/4,12 11 10 8,1:34.22,62.0,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
0,1,11,銀馳(E131),波健士,蔡約翰,114,1052,1,-,4 3 2 1,1:33.71,5.5,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,True,True
8,9,12,電路三號(B360),巫顯東,容天鵬,111,1176,4,3-1/4,11 12 12 9,1:34.23,73.0,2021-11-28,7,沙田,第一班,1600米,好地,"HK$ 3,150,000",11,12,False,False
10,11,1,驚喜(E349),潘頓,蔡約翰,133,1107,11,7-1/2,12 12 11 11,1:34.81,9.4,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
8,9,2,又龍串鳳(E461),蔡明紹,告東尼,133,1030,13,6,13 13 13 9,1:34.57,27.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
5,6,3,錶之功能(E446),周俊樂,呂健威,126,1038,5,4-1/4,7 8 8 6,1:34.30,41.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
12,13,4,飛輪鑽皇(G097),梁家俊,徐雨石,128,1126,9,10,8 5 9 13,1:35.21,195.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
3,4,5,龍船狀元(G070),潘明輝,告東尼,124,1121,10,2-3/4,11 10 7 4,1:34.06,10.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
1,2,6,勁力十足(D362),薛恩,韋達,126,1235,6,2-1/2,1 1 1 2,1:34.00,5.3,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,True
6,7,7,多多勇駒(G144),賀銘年,苗禮德,125,1048,7,4-3/4,10 11 12 7,1:34.38,147.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
9,10,8,精彩非凡(D327),希威森,方嘉柏,122,1191,12,6-1/2,9 9 10 10,1:34.65,25.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
2,3,9,香音(C265),何澤堯,羅富全,122,1074,3,2-3/4,5 6 5 3,1:34.03,2.7,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,True
4,5,10,瑪神滿紛(E319),馬雅,容天鵬,117,1178,1,3-1/2,6 7 6 5,1:34.16,15.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
0,1,11,確認眼神(D404),莫雷拉,姚本輝,116,1209,8,-,4 2 2 1,1:33.61,3.9,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,True,True
7,8,12,包裝風雲(E381),楊明綸,沈集成,114,1089,2,5-3/4,3 3 3 8,1:34.52,39.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
11,12,13,一舖縱橫(B385),黃俊,葉楚航,108,1093,4,7-3/4,2 4 4 12,1:34.83,121.0,2021-11-28,8,沙田,第三班,1600米,好地,"HK$ 1,570,000",11,13,False,False
1,2,1,志力同心(E134),潘頓,羅富全,133,1155,3,1/2,2 2 2,1:08.57,4.0,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,True
0,1,2,新力寶(A379),周俊樂,蘇偉賢,128,1206,1,-,3 3 1,1:08.48,7.5,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,True,True
6,7,3,激賞(A377),梁家俊,徐雨石,129,1019,4,3,5 4 7,1:08.97,8.6,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
7,8,4,悅跑得(C502),莫雷拉,呂健威,125,1197,12,3-3/4,12 12 8,1:09.08,7.6,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
2,3,5,協進神駒(D263),薛恩,韋達,124,1090,8,1/2,6 6 3,1:08.57,14.0,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,True
9,10,6,綠登(E409),希威森,霍利時,122,1135,10,6-1/2,10 11 10,1:09.51,83.0,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
10,11,7,北區威龍(D354),巫顯東,賀賢,119,1115,11,7,9 10 11,1:09.58,53.0,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
4,5,8,張燈結綵(E272),波健士,蔡約翰,120,1084,5,2-1/4,8 9 5,1:08.85,10.0,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
5,6,9,駿天使(G049),何澤堯,方嘉柏,116,1088,7,3,11 8 6,1:08.97,8.0,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
3,4,10,駿皇星(D144),馬雅,文家良,117,1106,6,1/2,1 1 4,1:08.58,4.8,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
11,12,11,陽光霸駒(D483),潘明輝,高伯新,114,1123,2,7,7 5 12,1:09.59,39.0,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
8,9,12,精彩生活(E192),蔡明紹,姚本輝,115,1117,9,6,4 7 9,1:09.45,31.0,2021-11-28,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",2,12,False,False
3,4,1,兄弟友盈(D403),潘明輝,蘇保羅,131,1148,3,5-1/2,5 5 5 5 7 4,2:19.73,19.0,2021-12-01,1,跑馬地,第四班,2200米,好地,"HK$ 1,040,000",3,7,False,False
4,5,2,團結一致(C494),薛恩,霍利時,132,965,6,5-3/4,6 6 6 6 5 5,2:19.77,22.0,2021-12-01,1,跑馬地,第四班,2200米,好地,"HK$ 1,040,000",3,7,False,False
0,1,3,威闖(D168),潘頓,大衛希斯,131,1051,2,-,3 3 3 3 3 1,2:18.86,2.7,2021-12-01,1,跑馬地,第四班,2200米,好地,"HK$ 1,040,000",3,7,True,True
5,6,4,活力得勝(C091),梁家俊,蘇保羅,131,1118,5,6,4 4 4 4 4 6,2:19.83,6.3,2021-12-01,1,跑馬地,第四班,2200米,好地,"HK$ 1,040,000",3,7,False,False
2,3,5,鑽石福星(D446),何澤堯,丁冠豪,127,1184,4,3-3/4,2 2 2 2 2 3,2:19.44,7.4,2021-12-01,1,跑馬地,第四班,2200米,好地,"HK$ 1,040,000",3,7,False,True
6,7,6,龍戰士(C153),蔡明紹,蘇保羅,121,1122,7,7-1/2,7 7 7 7 6 7,2:20.05,9.7,2021-12-01,1,跑馬地,第四班,2200米,好地,"HK$ 1,040,000",3,7,False,False
1,2,7,睡眠攻略(C493),莫雷拉,霍利時,116,1168,1,2-1/4,1 1 1 1 1 2,2:19.21,2.8,2021-12-01,1,跑馬地,第四班,2200米,好地,"HK$ 1,040,000",3,7,False,True
9,10,1,度身訂做(C522),陳嘉熙,方嘉柏,126,1063,9,6-3/4,6 5 6 7 10,1:52.67,15.0,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
8,9,2,電訊犇豹(D405),薛恩,葉楚航,133,1172,5,5-3/4,3 2 2 2 9,1:52.51,24.0,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
2,3,3,華美福星(E086),潘明輝,告東尼,129,1128,2,1-1/4,4 3 3 3 3,1:51.82,10.0,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,True
0,1,4,香港精神(D241),莫雷拉,苗禮德,130,1001,8,-,10 10 11 9 1,1:51.60,3.7,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,True,True
1,2,5,成功星駒(D065),蔡明紹,霍利時,126,969,4,1-1/4,5 7 8 11 2,1:51.79,6.2,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,True
3,4,6,無限驚喜(B477),楊明綸,容天鵬,123,1182,11,2-1/4,1 1 1 1 4,1:51.95,6.1,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
4,5,7,非凡魅力(D102),潘頓,賀賢,122,1115,6,3-1/4,9 9 7 6 5,1:52.12,3.5,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
5,6,8,金剛福星(D017),賀銘年,蔡約翰,121,1024,12,3-1/4,12 12 10 10 6,1:52.14,18.0,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
10,11,9,有力(E017),巫顯東,鄭俊偉,119,1050,3,7-1/4,8 8 9 12 11,1:52.75,38.0,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
6,7,10,明德之星(B395),希威森,文家良,117,1094,1,4-1/2,7 6 5 5 7,1:52.31,80.0,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
11,12,11,表表馬(C233),波健士,蘇偉賢,113,1156,7,7-1/4,2 4 4 4 12,1:52.77,37.0,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
7,8,12,勝出魅力(D192),黎海榮,韋達,113,1199,10,4-3/4,11 11 12 8 8,1:52.37,105.0,2021-12-01,4,跑馬地,第五班,1800米,好地,"HK$ 780,000",4,12,False,False
7,8,1,二話不說(C134),蔡明紹,葉楚航,133,1129,6,4-1/4,3 2 8,1:11.46,5.3,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
0,1,2,銘記知心(E089),莫雷拉,蔡約翰,132,1015,7,-,6 4 1,1:10.77,3.1,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,True,True
1,2,3,騰龍駒(B349),何澤堯,容天鵬,130,1167,10,頸位,11 8 2,1:10.81,15.0,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,True
2,3,4,贏多多(C004),賀銘年,丁冠豪,130,1106,12,1-3/4,12 10 3,1:11.06,37.0,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,True
5,6,5,電子傳奇(G028),周俊樂,文家良,124,1074,2,3,4 5 6,1:11.26,39.0,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
10,11,6,美男子(E493),馬雅,高伯新,127,1090,3,9-3/4,5 6 11,1:12.33,118.0,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
8,9,7,國士無雙(G006),薛恩,方嘉柏,127,1124,8,5-3/4,7 9 9,1:11.68,13.0,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
4,5,8,仍然贏(C388),潘頓,蘇偉賢,125,1128,11,2,9 7 5,1:11.11,5.6,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
6,7,9,同盟力量(C036),潘明輝,姚本輝,121,1234,4,4-1/4,1 1 7,1:11.44,4.8,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
3,4,10,精算其然(E307),波健士,呂健威,120,1072,1,2,2 3 4,1:11.10,36.0,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
9,10,11,各取所需(C474),希威森,韋達,118,1071,5,8-1/4,8 12 10,1:12.09,12.0,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
11,12,12,得福(E295),楊明綸,蘇保羅,117,1085,9,11,10 11 12,1:12.51,114.0,2021-12-01,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",2,12,False,False
2,3,1,上校(D090),周俊樂,姚本輝,130,1161,11,1/2,2 2 3,1:10.99,9.5,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,True
5,6,2,中華威威(D075),馬雅,徐雨石,131,1232,10,3-1/2,1 1 6,1:11.48,24.0,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
10,11,3,時時奪綵(G017),莫雷拉,蔡約翰,125,1223,8,6-1/2,7 5 11,1:11.92,10.0,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
1,2,4,星洲駿馬(G047),何澤堯,告東尼,125,1112,5,頸位,3 3 2,1:10.95,5.4,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,True
8,9,5,一樣滿意(G023),波健士,呂健威,125,1100,7,5-1/2,11 12 9,1:11.79,119.0,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
6,7,6,幸運旅程(E385),潘明輝,羅富全,121,1166,12,4,12 11 7,1:11.54,5.7,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
7,8,7,銀亮威龍(E283),梁家俊,葉楚航,123,1072,1,4-1/4,6 8 8,1:11.57,38.0,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
3,4,8,大家開心(E029),蔡明紹,文家良,121,1104,2,2-3/4,5 6 4,1:11.33,3.0,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
9,10,9,心連心(E200),希威森,蘇保羅,121,1014,9,6,9 7 10,1:11.88,174.0,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
0,1,10,四條煙(D365),潘頓,大衛希斯,120,1017,3,-,4 4 1,1:10.90,4.8,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,True,True
11,12,11,正大光輝(D336),黃俊,容天鵬,111,1125,4,10,8 9 12,1:12.51,140.0,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
4,5,12,日日靚(D070),楊明綸,方嘉柏,115,1161,6,2-3/4,10 10 5,1:11.34,29.0,2021-12-01,7,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",10,12,False,False
7,8,1,鑲白旗(B336),希威森,霍利時,133,1045,3,4-1/2,8 9 9 8 8,1:50.39,20.0,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
8,9,2,凌駕(C386),潘頓,蔡約翰,132,1105,10,5,4 3 4 4 9,1:50.45,6.2,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
0,1,3,天池怪俠(B350),莫雷拉,蘇偉賢,132,1158,2,-,7 7 6 5 1,1:49.67,3.7,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,True,True
11,12,4,超級綠洲(D085),馬雅,呂健威,131,1164,11,10-3/4,11 12 12 9 12,1:51.37,9.7,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
4,5,5,健康在望(C172),潘明輝,苗禮德,126,1026,8,1-3/4,12 11 11 11 5,1:49.93,18.0,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
1,2,6,皇寶(D416),薛恩,羅富全,128,1226,5,頸位,1 1 1 1 2,1:49.71,6.8,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,True
5,6,7,動力飛鷹(B072),周俊樂,沈集成,122,1230,7,3,10 8 8 7 6,1:50.15,31.0,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
3,4,8,全民佳知(C288),班德禮,姚本輝,124,1113,9,1-1/4,2 2 2 2 4,1:49.85,11.0,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
2,3,9,大道至正(C197),楊明綸,鄭俊偉,123,1158,1,1-1/4,5 4 3 3 3,1:49.85,33.0,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,True
9,10,10,快步速(C427),何澤堯,方嘉柏,122,1228,12,5,6 6 7 10 10,1:50.48,13.0,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
6,7,11,勁駒(D138),賀銘年,賀賢,119,1093,4,3-1/2,9 10 10 12 7,1:50.21,8.1,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
10,11,12,美麗精神(B409),蔡明紹,告東尼,118,1293,6,6-1/2,3 5 5 6 11,1:50.71,12.0,2021-12-01,8,跑馬地,第三班,1800米,好地,"HK$ 1,570,000",3,12,False,False
2,3,1,閃耀榮光(B372),潘頓,容天鵬,133,1225,1,1,4 3 3,1:10.30,4.6,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,True
7,8,2,會長之星(C205),周俊樂,韋達,130,1166,2,3-3/4,5 4 8,1:10.72,13.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
0,1,3,齊齊友福(D505),賀銘年,鄭俊偉,130,1136,3,-,7 7 1,1:10.12,4.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,True,True
10,11,4,心之行(E380),何澤堯,呂健威,128,1107,4,6,2 2 11,1:11.07,4.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
3,4,5,讓愛高飛(E413),蔡明紹,告東尼,128,1017,10,1-1/4,10 11 4,1:10.31,6.6,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
11,12,6,合衷共濟(B250),陳嘉熙,賀賢,119,1099,11,14-1/4,1 5 12,1:12.39,49.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
1,2,7,維港奔流(D042),潘明輝,羅富全,124,1134,8,頸位,8 10 2,1:10.16,10.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,True
4,5,8,好好彩彩(B188),梁家俊,蘇偉賢,123,1269,5,1-1/2,6 6 5,1:10.35,45.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
6,7,9,人和家盛(C531),馬雅,沈集成,123,1046,12,2-1/2,11 9 7,1:10.53,50.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
5,6,10,駿爵士(C406),楊明綸,方嘉柏,119,1254,7,2-1/2,9 8 6,1:10.52,92.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
8,9,11,飛凡(E271),莫雷拉,蔡約翰,119,1089,6,3-3/4,3 1 9,1:10.73,9.2,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
9,10,12,騰龍超影(T372),黃俊,蘇保羅,112,1149,9,4,12 12 10,1:10.77,128.0,2021-12-01,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",3,12,False,False
1,2,1,包裝智威(G082),何澤堯,呂健威,133,1050,11,1-1/2,13 13 10 2,1:22.29,33.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,True
0,1,2,美麗同享(E058),潘頓,告東尼,131,1036,2,-,2 1 1 1,1:22.06,4.4,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,True,True
10,11,3,勝賢(D169),薛恩,方嘉柏,131,1051,9,7,4 6 8 11,1:23.19,12.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
3,4,4,同舟共濟(G075),馬雅,沈集成,128,1086,4,3,9 9 9 4,1:22.55,48.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
5,6,5,美麗非凡(D023),波健士,蔡約翰,127,1213,3,5-1/4,5 5 5 6,1:22.91,10.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
6,7,6,都靈太陽(G134),班德禮,韋達,126,1080,6,5-1/2,6 7 12 7,1:22.93,47.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
7,8,7,天生一對(C027),梁家俊,丁冠豪,118,1111,8,5-3/4,3 3 6 8,1:22.98,20.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
11,12,8,虹鴻(D098),潘明輝,賀賢,115,1212,10,8-1/2,12 12 13 12,1:23.40,12.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
13,14,9,上駿奔馳(G096),巫顯東,高伯新,114,1206,12,10,11 14 14 14,1:23.65,243.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
8,9,10,美麗滿滿(E355),巴度,羅富全,115,1174,7,6-1/2,10 10 11 9,1:23.08,4.2,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
2,3,11,巴基之友(B370),蔡明紹,蘇偉賢,114,1072,1,2-1/4,8 4 4 3,1:22.40,23.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,True
9,10,12,錶之科學(E442),黃俊,蘇保羅,109,1123,5,6-3/4,1 2 3 10,1:23.12,43.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
12,13,13,天行健(E414),莫雷拉,文家良,115,1013,13,8-3/4,7 8 2 13,1:23.48,3.4,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
4,5,14,青工精神(E231),楊明綸,大衛希斯,113,1042,14,3-1/2,14 11 7 5,1:22.61,131.0,2021-12-05,10,沙田,第三班,1400米,好地,"HK$ 1,570,000",2,14,False,False
2,3,1,嘉才(D196),馬雅,呂健威,133,1197,8,2-1/4,4 3 4 4 3,1:49.12,10.0,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,True
4,5,2,正本開心(C227),潘頓,羅富全,131,1166,2,4-1/2,2 4 3 3 5,1:49.50,5.5,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,False
7,8,3,皇龍司令(C208),梁家俊,徐雨石,125,1099,5,9-3/4,6 6 5 5 8,1:50.31,9.5,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,False
5,6,4,摘星光輝(E316),薛恩,鄭俊偉,125,1065,1,4-3/4,5 7 6 6 6,1:49.54,76.0,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,False
1,2,5,玩具達人(D203),莫雷拉,姚本輝,125,1050,6,1/2,1 1 1 1 2,1:48.86,4.0,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,True
0,1,6,華卓晴(E449),波健士,蔡約翰,123,1081,4,-,3 2 2 2 1,1:48.77,18.0,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,True,True
6,7,7,順心寶(E313),潘明輝,賀賢,121,1223,9,8-3/4,10 8 9 9 7,1:50.18,10.0,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,False
9,10,8,麒麟才子(E393),楊明綸,大衛希斯,119,1134,7,19-1/4,8 10 10 10 10,1:51.83,69.0,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,False
3,4,9,皮具之星(C307),巴度,容天鵬,118,1287,10,3-3/4,9 9 8 7 4,1:49.37,4.0,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,False
8,9,10,馬主星輝(B427),蔡明紹,蘇偉賢,115,1147,3,11-3/4,7 5 7 8 9,1:50.64,6.5,2021-12-05,1,沙田,第四班,1800米,好地,"HK$ 1,040,000",6,10,False,False
3,4,1,錢多多(E397),潘頓,蘇保羅,133,1089,1,1-3/4,3 3 4,1:10.38,2.2,2021-12-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",11,12,False,False
8,9,2,草上飛(G019),薛恩,大衛希斯,128,1223,2,4-1/2,4 4 9,1:10.83,4.6,2021-12-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",11,12,False,False
1,2,3,伊臣(G061),莫雷拉,羅富全,126,1151,3,1/2,1 1 2,1:10.18,4.5,2021-12-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",11,12,False,True
4,5,4,超悅明駒(G003),何澤堯,蘇偉賢,126,1164,9,1-3/4,11 11 5,1:10.40,16.0,2021-12-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",11,12,False,False
10,11,5,幸運天賜(E474),希威森,徐雨石,126,1246,7,9-1/4,9 10 11,1:11.61,119.0,2021-12-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",11,12,False,False
6,7,6,從所願(G036),賀銘年,高伯新,126,1211,4,3-1/2,7 7 7,1:10.67,159.0,2021-12-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",11,12,False,False
5,6,7,精明勇駿(G031),巫顯東,何良,122,1091,5,2-3/4,6 8 6,1:10.53,55.0,2021-12-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",11,12,False,False
